Ensembl Gene Record	Common Gene Name	Read Count	Log Count	Dist
ENSG00000000457.13	SCYL3	248	5.5134287461649825	17
ENSG00000000938.12	FGR	62	4.127134385045092	13
ENSG00000000971.15	CFH	16	2.772588722239781	8
ENSG00000001460.17	STPG1	218	5.384495062789089	17
ENSG00000001497.16	LAS1L	206	5.327876168789581	17
ENSG00000001626.15	CFTR	14	2.6390573296152584	8
ENSG00000002016.17	RAD52	253	5.53338948872752	17
ENSG00000002079.14	MYH16	4	1.3862943611198906	4
ENSG00000002587.9	HS3ST1	29	3.367295829986474	10
ENSG00000002726.20	AOC1	138	4.927253685157205	15
ENSG00000002746.14	HECW1	35	3.5553480614894135	11
ENSG00000002933.8	TMEM176A	219	5.389071729816501	17
ENSG00000003096.14	KLHL13	40	3.6888794541139363	11
ENSG00000003137.8	CYP26B1	218	5.384495062789089	17
ENSG00000003400.14	CASP10	123	4.812184355372417	15
ENSG00000003436.15	TFPI	16	2.772588722239781	8
ENSG00000003987.13	MTMR7	150	5.0106352940962555	16
ENSG00000004139.13	SARM1	129	4.859812404361672	15
ENSG00000004468.12	CD38	41	3.713572066704308	11
ENSG00000004660.14	CAMKK1	97	4.574710978503383	14
ENSG00000004776.12	HSPB6	52	3.9512437185814275	12
ENSG00000004777.18	ARHGAP33	132	4.882801922586371	15
ENSG00000004799.7	PDK4	63	4.143134726391533	13
ENSG00000004838.13	ZMYND10	22	3.091042453358316	9
ENSG00000004866.20	ST7	173	5.153291594497779	16
ENSG00000004948.14	CALCR	10	2.302585092994046	7
ENSG00000004961.14	HCCS	184	5.214935757608986	16
ENSG00000005020.12	SKAP2	155	5.043425116919247	16
ENSG00000005059.15	MCUB	109	4.6913478822291435	15
ENSG00000005108.15	THSD7A	22	3.091042453358316	9
ENSG00000005187.11	ACSM3	158	5.062595033026967	16
ENSG00000005189.19	REXO5	219	5.389071729816501	17
ENSG00000005243.9	COPZ2	15	2.70805020110221	8
ENSG00000005249.12	PRKAR2B	56	4.02535169073515	12
ENSG00000005302.18	MSL3	265	5.579729825986222	17
ENSG00000005379.16	TSPOAP1	92	4.5217885770490405	14
ENSG00000005381.7	MPO	10	2.302585092994046	7
ENSG00000005436.13	GCFC2	171	5.14166355650266	16
ENSG00000005448.16	WDR54	163	5.093750200806762	16
ENSG00000005469.11	CROT	101	4.61512051684126	14
ENSG00000005844.17	ITGAL	81	4.394449154672439	14
